Store,Year,Is_Holiday_Week,Total_Sales,Avg_Weekly_Sales,Median_Weekly_Sales,Min_Weekly_Sales,Max_Weekly_Sales,Weeks,Avg_Temperature,Avg_Fuel_Price,Avg_CPI,Avg_Unemployment,Avg_WoW_Growth
1,2010,No,66806469.75,1518328.8579545454,1493334.8199999998,1345454.0,2387950.2,44,68.40295454545455,2.696772727272727,211.29058545454546,7.857863636363636,0.6472093023255815
1,2010,Yes,6472362.25,1618090.5625,1574709.065,1367320.01,1955624.11,4,57.537499999999994,2.69775,211.47268135,7.89225,-3.2925000000000004
1,2011,No,74201049.28,1545855.1933333334,1533482.25,1316899.31,2270188.99,48,68.77395833333334,3.4455833333333334,215.5603743083333,7.81375,0.8397916666666667
1,2011,Yes,6720869.55,1680217.3875,1595043.085,1497462.72,2033320.66,4,54.269999999999996,3.23325,216.700342875,7.859,0.022499999999999076
1,2012,No,64737813.26,1578971.0551219513,1573072.81,1319325.59,1899676.88,41,70.18975609756097,3.5489756097560976,221.67013427560974,7.078609756097562,0.006829268292682998
1,2012,Yes,3464244.76,1732122.38,1732122.38,1661767.33,1802477.43,2,65.99,3.5694999999999997,221.3520968,7.128,7.595000000000001
10,2010,No,85928398.94,1952918.1577272727,1846753.725,1645892.97,3749057.69,44,73.27795454545455,3.040068181818182,126.36330867045454,9.331613636363636,0.6923255813953488
10,2010,Yes,8543803.27,2135950.8175,1948279.375,1707298.14,2939946.38,4,59.75,3.02475,126.5919457,9.2425,-1.75
10,2011,No,90250017.6,1880208.7,1790219.245,1627707.31,3487986.89,48,71.31958333333334,3.7447916666666665,129.01133895625,8.345020833333333,0.8852083333333333
10,2011,Yes,8666877.14,2166719.285,2023049.34,1670579.82,2950198.64,4,62.5425,3.585,129.28379354999998,8.187249999999999,3.9200000000000017
10,2012,No,74301737.86,1812237.5087804878,1795152.73,1632406.0,2168709.76,41,74.51097560975609,3.9892439024390245,130.82542616829267,7.3248292682926825,-0.5897560975609756
10,2012,Yes,3926879.08,1963439.54,1963439.54,1708283.28,2218595.8,2,69.39999999999999,3.923,130.6587258,7.3575,11.16
11,2010,No,59519780.08,1352722.2745454544,1307588.67,1169831.38,2306265.36,44,71.72568181818181,2.696772727272727,214.60350835227274,7.408068181818181,0.6493023255813952
11,2010,Yes,5735358.15,1433839.5375,1403056.27,1172003.1,1757242.51,4,63.7175,2.69775,214.78534595,7.4605,-3.9299999999999997
11,2011,No,64653868.35,1346955.590625,1314859.19,1100418.69,2213518.5,48,73.79520833333333,3.4455833333333334,218.93371025833335,7.4804375,1.1289583333333333
