Store,Sum_Sales_2010_No,Sum_Sales_2010_Yes,Sum_Sales_2011_No,Sum_Sales_2011_Yes,Sum_Sales_2012_No,Sum_Sales_2012_Yes,Mean_Sales_2010_No,Mean_Sales_2010_Yes,Mean_Sales_2011_No,Mean_Sales_2011_Yes,Mean_Sales_2012_No,Mean_Sales_2012_Yes
1,66806469.75,6472362.25,74201049.28,6720869.55,64737813.26,3464244.76,1518328.8579545454,1618090.5625,1545855.1933333334,1680217.3875,1578971.0551219513,1732122.38
10,85928398.94,8543803.27,90250017.6,8666877.14,74301737.86,3926879.08,1952918.1577272727,2135950.8175,1880208.7,2166719.285,1812237.5087804878,1963439.54
11,59519780.08,5735358.15,64653868.35,5869714.54,55305193.52,2878872.16,1352722.2745454544,1433839.5375,1346955.590625,1467428.635,1348907.1590243904,1439436.08
12,43856287.18,4514096.68,47869169.94,4712830.63,41180368.83,2154476.89,996733.7995454546,1128524.17,997274.3737499999,1178207.6575,1004399.2397560976,1077238.445
13,87027966.0,8244769.449999999,95886925.6,8650587.73,82472374.14,4235080.88,1977908.3181818181,2061192.3624999998,1997644.2833333332,2162646.9325,2011521.320487805,2117540.44
14,97020829.61,8441412.77,97313622.07,8782648.63,73459629.67999999,3981768.58,2205018.8547727275,2110353.1925,2027367.126458333,2195662.1575,1791698.2848780486,1990884.29
15,29035342.92,2988185.3899999997,29422228.15,2860396.75,23612052.67,1215478.04,659894.1572727273,747046.3474999999,612963.0864583333,715099.1875,575903.7236585367,607739.02
16,22491914.59,2236718.0,25001654.58,2419712.91,21091519.77,1010905.5499999999,511179.8770454545,559179.5,520867.80374999996,604928.2275,514427.31146341463,505452.77499999997
17,37420768.94,3684151.5,42413820.54,3978019.2199999997,38149579.64,2135798.99,850472.0213636364,921037.875,883621.26125,994504.8049999999,930477.552195122,1067899.495
18,51237669.11,4740748.19,49509403.44,4708336.67,42673440.05,2245136.75,1164492.4797727272,1185187.0475,1031445.9049999999,1177084.1675,1040815.6109756096,1122568.375
19,66184010.53,6396518.109999999,68464521.44,6377378.74,56215862.79,2996570.49,1504182.0575,1599129.5274999999,1426344.1966666665,1594344.685,1371118.6046341462,1498285.245
2,86891766.02,8386098.17,90203410.34,8404471.08,77494595.62,4002099.75,1974812.864090909,2096524.5425,1879237.7154166668,2101117.77,1890112.088292683,2001049.875
20,92997646.2,8735434.52,100625593.41,9211408.95,85284202.04,4543507.34,2113582.868181818,2183858.63,2096366.529375,2302852.2375,2080102.488780488,2271753.67
21,34229199.18,3401909.09,36785360.02,3449523.92,28838406.63,1413480.08,777936.345,850477.2725,766361.6670833334,862380.98,703375.7714634147,706740.04
22,46579770.22,4285510.19,49022552.43,4532159.5,40624579.36,2031076.87,1058631.1413636364,1071377.5475,1021303.175625,1133039.875,990843.3990243903,1015538.435
23,61812911.48,5896193.83,66329911.01,5943622.779999999,55982372.42,2785606.33,1404838.8972727272,1474048.4575,1381873.1460416666,1485905.6949999998,1365423.7175609756,1392803.165
24,61014165.99,5876482.25,63945072.23,5993904.64,54305800.55,2880595.62,1386685.5906818183,1469120.5625,1332189.0047916665,1498476.16,1324531.7207317073,1440297.81
25,32158758.62,2977509.12,33345613.7,3088792.02,28160038.43,1330467.28,730880.8777272728,744377.28,694700.2854166667,772198.005,686830.205609756,665233.64
26,44168685.48,4222012.300000001,47713675.2,4335576.5200000005,40813564.62,2162879.67,1003833.7609090909,1055503.0750000002,994034.9,1083894.1300000001,995452.795609756,1081439.835
27,82285445.29,7727731.28,84219983.27,7702700.92,68427495.54,3492560.58,1870123.7565909093,1931932.82,1754582.9847916665,1925675.23,1668963.3058536586,1746280.29
28,58946142.2,5832622.73,63248845.4,5907163.18,52286246.93,3042660.1399999997,1339685.05,1458155.6825,1317684.2791666666,1476790.795,1275274.3153658537,1521330.0699999998
29,24484603.24,2462224.25,25429642.46,2520702.74,21157729.72,1086651.9,556468.2554545454,615556.0625,529784.2179166666,630175.685,516042.18829268287,543325.95
3,17024183.47,1721235.53,19041523.8,1775352.77,17142917.3,881522.2,386913.2606818182,430308.8825,396698.41250000003,443838.1925,418119.93414634146,440761.1
30,19926185.76,1812900.87,20511387.97,1670760.44,17910718.32,884931.76,452867.8581818182,453225.2175,427320.5827083333,417690.11,436846.78829268296,442465.88
31,59651218.85,5909053.91,67963819.33,6205406.1899999995,56998607.02,2885800.2,1355709.5193181818,1477263.4775,1415912.9027083332,1551351.5474999999,1390209.9273170733,1442900.1
32,50448635.47,4742301.21,56307762.67,5039430.81,48025007.19,2256108.81,1146559.8970454545,1185575.3025,1173078.3889583333,1259857.7025,1171341.6387804877,1128054.405
33,11739267.13,1027567.13,11928439.97,1029396.7,10866569.67,568981.3600000001,266801.5256818182,256891.7825,248509.16604166667,257349.175,265038.2846341463,284490.68000000005
34,42011978.47,4138438.32,46102913.14,4257268.92,39715090.5,2024073.65,954817.6925,1034609.58,960477.3570833333,1064317.23,968660.743902439,1012036.825
