Store,Holiday_Weeks,Avg_Dec_Holiday_Sales,Total_Dec_Holiday_Sales
20,1,2043245.0,2043245.0
4,1,2007105.86,2007105.86
13,1,1969056.91,1969056.91
10,1,1930690.37,1930690.37
14,1,1914148.89,1914148.89
2,1,1874226.52,1874226.52
27,1,1650604.6,1650604.6
6,1,1598080.52,1598080.52
39,1,1537139.56,1537139.56
1,1,1497462.72,1497462.72
19,1,1405168.06,1405168.06
24,1,1363973.16,1363973.16
31,1,1355405.95,1355405.95
11,1,1352084.21,1352084.21
28,1,1270036.53,1270036.53
41,1,1264014.16,1264014.16
23,1,1213486.95,1213486.95
12,1,1111638.07,1111638.07
32,1,1102367.65,1102367.65
18,1,1010562.49,1010562.49
22,1,982661.14,982661.14
26,1,972834.42,972834.42
34,1,965512.36,965512.36
40,1,908853.15,908853.15
35,1,904650.55,904650.55
45,1,869403.63,869403.63
8,1,858572.22,858572.22
7,1,815915.52,815915.52
21,1,804362.36,804362.36
17,1,777207.3,777207.3
25,1,683665.37,683665.37
16,1,665861.06,665861.06
15,1,603460.79,603460.79
29,1,551743.05,551743.05
9,1,549788.36,549788.36
43,1,505405.85,505405.85
42,1,454412.28,454412.28
37,1,451327.61,451327.61
3,1,410553.88,410553.88
30,1,376777.45,376777.45
5,1,349624.88,349624.88
38,1,342667.35,342667.35
36,1,287425.22,287425.22
44,1,263917.85,263917.85
33,1,215359.21,215359.21
