Year,Month,Week_of_Year,Total_Sales,Avg_Weekly_Sales,Store_Count
2010,2,5,49750740.5,1105572.0111111111,45
2010,2,6,48336677.63,1074148.3917777778,45
2010,2,7,48276993.78,1072822.084,45
2010,2,8,43968571.13,977079.3584444445,45
2010,3,9,46871470.3,1041588.2288888888,45
2010,3,10,45925396.51,1020564.3668888889,45
2010,3,11,44988974.64,999754.992,45
2010,3,12,44133961.05,980754.69,45
2010,4,13,50423831.26,1120529.5835555554,45
2010,4,14,47365290.44,1052562.0097777778,45
2010,4,15,45183667.08,1004081.4906666667,45
2010,4,16,44734452.56,994098.9457777778,45
2010,4,17,43705126.71,971225.0380000001,45
2010,5,18,48503243.52,1077849.8560000001,45
2010,5,19,45330080.2,1007335.1155555557,45
2010,5,20,45120108.06,1002669.0680000001,45
2010,5,21,47757502.56,1061277.8346666668,45
2010,6,22,50188543.120000005,1115300.9582222223,45
2010,6,23,47826546.72,1062812.1493333334,45
2010,6,24,47622046.23,1058267.694,45
2010,6,25,46609036.29,1035756.362,45
2010,7,26,48917484.5,1087055.211111111,45
2010,7,27,47899529.37,1064433.986,45
2010,7,28,46243899.58,1027642.2128888889,45
2010,7,29,44888849.11,997529.9802222222,45
2010,7,30,44630363.42,991785.8537777779,45
2010,8,31,48204999.12,1071222.2026666666,45
2010,8,32,46464418.410000004,1032542.6313333334,45
2010,8,33,47060952.92,1045798.9537777778,45
2010,8,34,45909740.44,1020216.4542222222,45
2010,9,35,47194257.61,1048761.2802222222,45
2010,9,36,45634397.839999996,1014097.7297777777,45
2010,9,37,43080726.51,957349.478,45
2010,9,38,41358514.41,919078.0979999999,45
2010,10,39,42239875.87,938663.9082222221,45
2010,10,40,45102974.23,1002288.3162222222,45
2010,10,41,43149473.45,958877.1877777779,45
2010,10,42,43066669.52,957037.1004444446,45
2010,10,43,43602830.95,968951.7988888889,45
2010,11,44,45781981.89,1017377.3753333334,45
2010,11,45,46124800.83,1024995.5739999999,45
2010,11,46,45125584.18,1002790.7595555555,45
2010,11,47,65821003.24,1462688.960888889,45
2010,12,48,49909027.88,1109089.5084444445,45
2010,12,49,55666770.39,1237039.342,45
2010,12,50,61820799.85,1373795.5522222223,45
2010,12,51,80931415.6,1798475.9022222222,45
2010,12,52,40432519.0,898500.4222222222,45
2011,1,1,42775787.769999996,950573.0615555554,45
2011,1,2,40673678.04,903859.512,45
2011,1,3,40654648.03,903436.6228888889,45
2011,1,4,39599852.99,879996.7331111112,45
2011,2,5,46153111.12,1025624.6915555554,45
2011,2,6,47336192.79,1051915.3953333334,45
2011,2,7,48716164.12,1082581.4248888888,45
2011,2,8,44125859.839999996,980574.663111111,45
2011,3,9,46980603.74,1044013.4164444444,45
2011,3,10,44627319.4,991718.2088888888,45
2011,3,11,44872325.97,997162.7993333333,45
2011,3,12,42876199.18,952804.4262222222,45
2011,4,13,43458991.19,965755.3597777777,45
2011,4,14,45887466.8,1019721.4844444444,45
2011,4,15,44973328.14,999407.292,45
2011,4,16,48676692.06,1081704.2680000002,45
2011,4,17,43530032.78,967334.0617777779,45
2011,5,18,46861958.29,1041376.8508888888,45
2011,5,19,45446144.82,1009914.3293333333,45
2011,5,20,44046598.01,978813.2891111111,45
2011,5,21,45293457.04,1006521.2675555556,45
2011,6,22,48771994.18,1083822.092888889,45
2011,6,23,47669734.66,1059327.4368888887,45
2011,6,24,47447561.77,1054390.2615555557,45
2011,6,25,45884094.58,1019646.5462222222,45
2011,7,26,47578519.5,1057300.4333333333,45
2011,7,27,47859263.78,1063539.195111111,45
2011,7,28,45515929.92,1011465.1093333333,45
2011,7,29,45274411.39,1006098.0308888889,45
2011,7,30,43683274.28,970739.4284444444,45
2011,8,31,48015466.97,1067010.377111111,45
