Year,Month,Avg_Weekly_Sales,Total_Sales,Year_Month
2010,2,1057405.4613333333,190332983.04,2010-02-01
2010,3,1010665.5694444445,181919802.5,2010-03-01
2010,4,1028499.4135555556,231412368.05,2010-04-01
2010,5,1037282.9685555556,186710934.34,2010-05-01
2010,6,1068034.290888889,192246172.36,2010-06-01
2010,7,1033689.4487999999,232580125.98,2010-07-01
2010,8,1042445.0604999999,187640110.89,2010-08-01
2010,9,984821.6465,177267896.37,2010-09-01
2010,10,965163.6623111111,217161824.02,2010-10-01
2010,11,1126963.1674444443,202853370.14,2010-11-01
2010,12,1283380.1454222223,288760532.72,2010-12-01
2011,1,909466.482388889,163703966.83,2011-01-01
2011,2,1035174.0437222222,186331327.87,2011-02-01
2011,3,996424.7127222222,179356448.29,2011-03-01
2011,4,1006784.4932,226526510.97,2011-04-01
2011,5,1009156.4342222222,181648158.16,2011-05-01
2011,6,1054296.584388889,189773385.19,2011-06-01
2011,7,1021828.4394222222,229911398.87,2011-07-01
2011,8,1047774.0680555556,188599332.25,2011-08-01
2011,9,981545.5040888889,220847738.42,2011-09-01
2011,10,1018118.2397222222,183261283.15,2011-10-01
2011,11,1167568.6381666667,210162354.87,2011-11-01
2011,12,1280347.1221333335,288078102.48,2011-12-01
2012,1,938302.6203333333,168894471.66,2012-01-01
2012,2,1067019.8863333333,192063579.54,2012-02-01
2012,3,1028931.7799555556,231509650.49,2012-03-01
2012,4,1049560.588611111,188920905.95,2012-04-01
2012,5,1048702.663611111,188766479.45,2012-05-01
2012,6,1069379.241288889,240610329.29,2012-06-01
2012,7,1041719.18,187509452.4,2012-07-01
2012,8,1052670.069688889,236850765.68,2012-08-01
2012,9,1003586.3581666667,180645544.47,2012-09-01
2012,10,1024231.5578888889,184361680.42,2012-10-01
