Order,Seasonal_Order,AIC
"(1, 1, 2)","(0, 0, 1, 12)",415.5056819171151
"(2, 1, 2)","(0, 0, 1, 12)",417.2588369571984
"(2, 1, 2)","(1, 0, 1, 12)",419.1612490276344
"(1, 1, 2)","(1, 0, 1, 12)",419.28602919597927
"(0, 1, 1)","(0, 0, 1, 12)",449.93605704349136
"(0, 1, 1)","(1, 0, 1, 12)",451.75607048683577
"(1, 1, 1)","(0, 0, 1, 12)",451.8678346257868
"(2, 1, 1)","(1, 0, 0, 12)",452.33916310695116
"(2, 1, 1)","(0, 0, 1, 12)",453.1535801154027
"(1, 1, 1)","(1, 0, 1, 12)",453.5841313976148
"(2, 1, 2)","(1, 0, 0, 12)",453.93113136261474
"(2, 1, 1)","(1, 0, 1, 12)",454.27827009921305
"(1, 1, 1)","(1, 0, 0, 12)",490.42685264884403
"(1, 1, 2)","(1, 0, 0, 12)",491.5805090410929
"(1, 1, 0)","(1, 0, 0, 12)",491.97442289382843
"(1, 1, 0)","(0, 0, 1, 12)",492.8103754629348
"(1, 1, 0)","(1, 0, 1, 12)",493.9227505969722
"(0, 1, 1)","(1, 0, 0, 12)",528.3437187074219
